Emp_ID,Emp_Name,Order_ID,Attendance_Percentage,Picking_Time_Minutes,Income_Earned
PK033,Karthik Raj,ORD000001,96.44,8,40.62
PK073,Arun Kumar,ORD000002,83.44,11,26.71
PK069,Sanjay Kumar,ORD000003,90.86,20,112.72
PK199,Naveen Kumar,ORD000004,98.79,20,53.76
PK227,Sanjay Kumar,ORD000005,98.32,15,40.09
PK021,Priya Sharma,ORD000006,88.6,17,57.46
PK065,Harish M,ORD000007,92.36,4,86.6
PK073,Sanjay Kumar,ORD000008,82.82,3,31.37
PK168,Sanjay Kumar,ORD000009,83.75,14,22.06
PK189,Naveen Kumar,ORD000010,91.46,13,30.36
PK100,Vignesh R,ORD000011,91.5,15,29.38
PK008,Vignesh R,ORD000012,82.9,13,44.36
PK090,Harish M,ORD000013,84.03,16,19.44
PK075,Divya Nair,ORD000014,99.81,4,107.65
PK142,Swetha R,ORD000015,87.51,11,34.05
PK091,Anitha S,ORD000016,91.62,5,85.27
PK074,Swetha R,ORD000017,97.47,11,92.2
PK040,Swetha R,ORD000018,86.96,18,75.62
PK239,Naveen Kumar,ORD000019,84.51,4,49.0
PK229,Sanjay Kumar,ORD000020,91.81,10,62.54
PK235,Arun Kumar,ORD000021,89.73,10,37.55
PK232,Priya Sharma,ORD000022,83.33,5,85.3
PK110,Vignesh R,ORD000023,97.97,20,108.73
PK082,Rahul Singh,ORD000024,90.85,10,66.71
PK185,Vignesh R,ORD000025,84.26,13,74.76
PK064,Karthik Raj,ORD000026,84.24,11,101.83
PK177,Karthik Raj,ORD000027,84.61,17,26.82
PK144,Priya Sharma,ORD000028,85.92,13,43.18
PK201,Priya Sharma,ORD000029,89.65,15,77.55
PK068,Vignesh R,ORD000030,89.25,13,118.54
PK122,Priya Sharma,ORD000031,91.9,5,20.85
PK060,Divya Nair,ORD000032,85.48,19,16.67
PK092,Naveen Kumar,ORD000033,83.55,12,43.17
PK078,Swetha R,ORD000034,96.94,7,99.71
PK058,Priya Sharma,ORD000035,88.1,17,111.9
PK135,Arun Kumar,ORD000036,99.2,3,117.95
PK204,Rahul Singh,ORD000037,85.57,7,61.47
PK049,Arun Kumar,ORD000038,93.5,5,27.31
PK160,Divya Nair,ORD000039,83.34,7,77.83
PK012,Vignesh R,ORD000040,87.69,11,59.54
PK249,Karthik Raj,ORD000041,95.79,20,86.64
PK058,Swetha R,ORD000042,82.51,19,60.14
PK075,Vignesh R,ORD000043,91.23,3,28.1
PK016,Rahul Singh,ORD000044,94.99,11,46.71
